"","Exp.t1.1","Exp.t1.2","Exp.t1.3","Exp.t1.4","Exp.t2.1","Exp.t2.2","Exp.t2.3","Exp.t2.4","Exp.t3.1","Exp.t3.2","Exp.t3.3","Exp.t3.4","Exp.t4.1","Exp.t4.2","Exp.t4.3","Exp.t4.4","Exp.t5.1","Exp.t5.2","Exp.t5.3","Exp.t5.4","Exp.t6.1","Exp.t6.2","Exp.t6.3","Exp.t6.4","Exp.t7.1","Exp.t7.2","Exp.t7.3","Exp.t7.4","Exp.t8.1","Exp.t8.2","Exp.t8.3","Exp.t8.4","Ctl.t1.1","Ctl.t1.2","Ctl.t1.3","Ctl.t1.4","Ctl.t2.1","Ctl.t2.2","Ctl.t2.3","Ctl.t2.4","Ctl.t3.1","Ctl.t3.2","Ctl.t3.3","Ctl.t3.4","Ctl.t4.1","Ctl.t4.2","Ctl.t4.3","Ctl.t4.4","Ctl.t5.1","Ctl.t5.2","Ctl.t5.3","Ctl.t5.4","Ctl.t6.1","Ctl.t6.2","Ctl.t6.3","Ctl.t6.4","Ctl.t7.1","Ctl.t7.2","Ctl.t7.3","Ctl.t7.4","Ctl.t8.1","Ctl.t8.2","Ctl.t8.3","Ctl.t8.4"
"VNG0174G",-1.51593313694928,-0.328716085572935,1.04058266347193,-1.32187294721281,7.05647403322252,7.22638061428428,6.84177616285879,8.71154997349162,9.18412448124962,10.704439623052,10.5001765660467,8.48991772966746,5.97626800824318,5.7241726843733,5.75240507543197,5.69370423495815,2.07031904938456,3.59894904255294,1.20847783986404,2.23088279579868,0.531979436235459,-0.987622530787855,0.178261554104019,-0.138165909931737,2.83320036062278,-0.343073614276303,-0.454551471710824,1.80547722502842,-0.875159143183529,-0.0884924446556209,-0.549216834657427,0.170013758769964,-0.30131994003543,-0.029118649051584,0.0383472197733651,0.00673810177110274,-0.059591483684308,-0.101987363507707,-0.0852927278656076,0.078647024564624,-0.011596357671181,-0.104610766193896,0.00626380296024481,-0.267036818091601,-0.0354506555200471,-0.0393279352072517,-0.0152709865370448,0.093855863553164,0.129485126063803,-0.176830725421351,-0.222405382060167,0.0832050764219182,-0.0346156470824609,-0.163007191135632,-0.0467046014270446,0.0758131100053779,0.0669512642344498,-0.291613999764879,0.0557845507240148,-0.0453817209188602,-0.0230950883345349,0.111145560978376,0.0571508009256681,-0.0737111632198345
"VNG0602C",-0.681566587984742,-0.0882521585808833,1.15227687151678,0.192310545458166,9.04310392885362,6.26298455129513,7.87931570107851,7.60292675989434,11.548461727747,10.3608774848034,10.5305854156525,11.3245728632532,5.10680159324008,4.35215594901216,4.12923434289763,3.45417429978179,1.94910591109606,1.35649793819403,1.96905403241256,1.12454065192601,-0.240602819555569,1.0669949906751,0.682759594135553,-2.39797407307417,-0.970429439669593,-1.53836999189674,-1.22518326502532,-1.80342875765007,-1.70472231075943,-0.162883660681766,1.78473441540817,0.316145017692609,0.0299956619421081,0.0436015485570247,0.0758232759267231,-0.0332485069276956,0.0463194808994591,-0.00288661362924884,0.0846195160870559,0.0678806589680784,0.00647900821775569,0.0280686025750747,-0.186085710534735,-0.0247969038210297,-0.0794799294933974,0.0144671877492621,-0.16352159708612,0.0441773601656971,-0.119048592446167,-0.0339118597872153,0.0322339480086972,-0.0621941714546932,0.00972435443908723,0.104737810567497,-0.0454942135614887,0.157194719375753,-0.133661208056695,0.114685886417925,-0.114998506491945,-0.096080261610954,0.0898064689266928,-0.113415273948286,-0.125750342344188,0.0866124645038116
"VNG0743H",0.473737558669797,-2.0465344951154,-0.461804475561146,0.0745297036110658,7.6771216618095,6.70281750910269,6.99445569532337,7.4502238071363,9.35221544482043,10.293480081288,9.73746907683253,9.52707933288731,4.5445237005462,3.97905932069398,3.84078213020566,6.76456550647328,3.16483121536972,2.36082145731535,0.820501523340912,1.27332356419412,-1.06713331697466,-0.661532817069581,2.20386624134043,2.29469330061601,-3.41536780040789,-0.0850296076763406,1.08574929729549,-1.21862685592208,-1.76022049820857,1.90244655317787,-0.187015677833473,0.743310696465441,0.0838328583545557,0.104468538747397,0.151962451938593,-0.105064877348698,-0.0644399164812246,-0.0473924394686687,0.0302131801182436,-0.13575213674357,0.0955219684290228,0.101939443155645,-0.0364655693791491,0.139625439825312,-0.00847445703242751,0.150981931994579,0.00217059573147462,-0.0459554620101577,-0.0281320611684146,0.0211894893306689,0.117971527230757,0.206087026947842,0.0402180788655574,-0.190736529290671,-0.0665001926667746,0.0733394498949401,-0.0741584440310337,0.0224749214181679,-0.0504923570212368,0.0360720482015854,0.232526306158824,-0.0672912246300228,-0.0101254161380939,-0.265486303432486
"VNG1240G",0.370004515370074,-0.189817311877437,-1.80874671683881,1.32591302027144,8.23898663748493,7.30868739722325,6.90782923500158,7.47274132878142,8.05849177309138,11.1477885348448,9.13927793080023,9.60335574385969,5.3306928354991,5.318707477851,5.42931629550547,4.29226639222427,1.50322896707543,3.88941673725957,1.93009708936861,-0.0670216712477809,0.952017586229566,-0.266317791577138,0.0988378901389509,-1.50755580808528,0.733580467937987,-1.96781301579474,1.59828246928392,1.29499127803219,-2.18599125423538,0.264802986201227,-0.940361967365962,1.17497642273925,0.0665867887340899,0.125575187703861,0.0253769719514144,0.0845694327217118,0.130844751966118,0.0205419312013449,-0.14935947272924,-0.00256351640427008,-0.0338159100930098,-0.0684374032054754,0.0367601180500593,-0.179491221528966,0.0444961271819151,-0.0453341770341845,-0.00821824050721113,0.0963579748569986,-0.00626691809556894,-0.0535421453770245,-0.099615773286813,-0.101174938299433,-0.0881057632003445,-0.0849378512911278,0.0230040071793159,0.0740281573033174,-0.0848059260856897,0.0254622478817827,-0.0716156717526863,0.0856493957615468,0.111232864369177,-0.0976670551932795,-0.070880364260663,0.130974951596505
"VNG1518H",-0.332956468275989,-1.07125679687361,0.320921848126909,0.907130840261449,8.06983475036141,6.45686774846447,7.09619935327786,8.58743629155903,11.3717784589355,10.5738664376455,11.569929136432,9.79144808380942,5.39908858748892,4.37238829044459,3.16065611938793,6.92423591079494,3.28954660962498,3.75668100174928,2.08931355465229,2.50190414466801,2.74754133834333,-0.0164484456226567,-0.372041447873683,-0.254350718511918,1.03667843664542,-1.89967878413142,-0.639633392560352,1.97908642194871,0.368417947568134,0.623604363812573,0.0975373474092876,0.143378949432566,-0.110025287667856,0.146511481045026,0.0391238126440213,-0.0426717338903884,-0.0208334005274488,0.0210233307288388,0.0358162824855984,0.131446883258025,0.111115299599825,-0.0442429485071854,-0.241252043310984,-0.0723488574973958,0.0358587336423067,-0.0587466183358927,0.116926769106711,0.073051139415001,0.0574509376092121,-0.154547277244574,-0.0775421096578851,0.085283890870312,-0.162152090071075,-0.113538530913605,-0.124286056682805,0.124962298287545,0.130836278993613,-0.179245161483224,0.0336322028084473,0.123214105553841,0.0136970150660241,-0.136945109594743,0.305293795865888,-0.109827783260985
"VNG1536C",-0.714652949281357,-0.189085592444049,-0.018181027670059,0.355026891067508,8.31359800386447,5.58056198437458,8.32633609532152,7.80820292909569,10.5152530542286,8.86431111626058,9.53060193319318,9.0732311769141,4.59689078655612,4.82069498244173,5.25615777523652,7.25921745653064,2.62327254787782,2.90980861780592,2.80608105246386,3.41926489641438,-1.25980195201962,0.14055504083932,-1.54559904215822,-0.136445227771382,-0.502515934657416,-0.0927975662956569,2.42162177817538,0.614420263059623,-1.49122164371229,-0.357837967732606,-0.67569278567965,-1.53343988847029,-0.050954473728709,0.103035176478712,0.068616516466116,-0.0503910724270103,0.0649358132721812,0.183642346596369,0.0460712700862713,0.089971415472712,-0.0460949319784755,-0.00223284776212902,0.226801101220655,0.0726367722247721,0.0840322853343391,0.0183692308918748,-0.0340953477314384,0.0293463533862227,-0.124031477294816,0.0602169342933993,0.00937054958948401,0.208764889982814,-0.0354120879227513,0.0259517059835891,-0.0282630580261132,0.0437816000541044,-0.215644579874366,0.14370320679968,0.0917349925963475,-0.0268103796905328,0.0418368110190361,-0.0152131225707438,-0.0586341600804967,0.0470747462308516
"VNG1658C",-0.565843931099381,0.0789845236615412,0.261135604724906,-0.870470200433575,7.27599816160894,7.73330303602172,8.36339854776567,8.30876194169317,9.38801896882725,11.4358149267178,12.5200507856815,9.00780112919331,7.01781161222688,5.42762346239181,5.32179971781779,7.09428507798265,3.34021972242983,4.40571223240659,1.53128071078678,2.50441312275517,0.782400316654423,-0.689321728438708,0.449331690658918,-1.27061038891172,-1.26164559147043,-2.12994652781109,0.957166027006419,-1.15485643742312,0.195419507393214,0.276342007866593,0.164955577107731,-0.224947922153984,-0.165402549949402,0.0905115536841166,0.0134418585338679,-0.0149713084912482,0.0547058227886226,-0.065470207055863,0.0670701112444562,-0.0875281604447307,0.0196169535228741,-0.0545772861765815,0.0760496773039113,0.0253023240502391,-0.193443703388396,-0.0709188702095345,-0.052923835457763,0.0576878225019052,0.0505944850865793,0.0687641858220604,0.120636130188594,-0.0950212565583605,0.0632065080715485,0.0328994388600372,-0.182684153062716,-0.104320426364518,0.0640762990876603,0.0526105012962313,0.0459541847616449,0.100042669274982,-0.00295127290898076,0.0321439425159734,0.0376123618316006,0.0761392566845929
"VNG1752C",0.36484029346511,-1.71394059993075,1.25058952595341,-0.740815603746755,6.00462061305483,6.67240131650653,7.46777204517164,9.53195048359409,12.2173921240427,9.69340649628631,12.2777893026782,8.50162746258556,5.2059131108512,5.71206626336969,4.78362446227931,6.12958325913195,4.32595308816284,0.64166368427366,1.06390259671898,2.81405952183982,0.483286412739194,-0.572254066879144,-1.19135951557331,-0.103120619782431,-0.10598247630098,0.217852670229217,0.0914004172762352,0.303062608323659,0.768027867579018,-0.406086178253519,0.961623362989466,1.58121752560116,0.0687934119567305,-0.00149277485436115,0.0181482043602853,-0.209998976776187,-0.109947380954913,0.118308684249214,-0.0784266926797231,0.0255052927805625,-0.161931582268851,0.124578603439848,0.0818786496477304,0.0588652252594155,0.0540563379293552,0.0041279829382633,-0.0908177587754262,-0.0813966283354977,0.0100600734598157,0.0357878333263609,-0.0462826020296998,0.141074945860196,-0.221601060840038,-0.0356799503941315,0.214103402004613,0.173833216370862,-0.111126291874265,0.0045437933308495,-0.01644454711715,0.258624711851193,-0.032464742173031,-0.183987975044098,0.0181217797396856,0.0723427811387388
"VNG1849H",0.781059778400316,2.237539470764,1.69456254115188,-0.713512107674539,9.71992327318831,7.75560093526072,5.9820755217456,7.09638940922204,7.94329153321068,10.511746249184,9.92391942208657,9.83835830596393,4.62523484113655,6.00855584690313,5.24102993865646,6.57569436810833,3.48868110926055,2.18571823797442,3.00524884942667,0.580601263496131,-0.77720123518834,0.699394710311708,0.581672392039326,-0.832993576236253,1.93148864428354,0.419814450536767,-0.111504700867128,0.694731885253559,1.44531145212181,0.150551716718764,-0.67653523213875,1.65372163279504,-0.13763762266673,0.133171703193714,0.0206019463937036,0.15838889541327,-0.245010444855079,-0.0599908537112165,-0.011769864234036,-0.13640076303974,0.269172094630027,-0.0824319699724875,0.0793596587008373,-0.0136037574544045,-0.0491445372216385,-0.111377097117776,0.0327704027076994,-0.118827544539176,-0.00836155748504213,0.0154113015697888,0.0942543852215449,-0.0566013788240681,-0.0585689506635926,0.0302583860491663,-0.195187375893636,0.0481348396476241,-0.00992190954348476,0.107508722081267,-0.0364859641180838,0.116246744948964,0.181317512436492,0.0104409522964502,-0.0333134834230471,-0.0246307863355715
"VNG1898C",1.71536473393104,0.981147760112575,0.482699036636661,0.988692902441277,8.9010693059156,8.18316243098216,7.3387927034678,7.08610298237499,9.2562986799827,11.3894844738865,8.65004556225373,8.38011344095399,4.82550921197645,2.75976232410267,4.74992899024336,5.06963625900028,4.83167819990889,3.48197869963351,2.25908393992659,1.64188009965901,0.817566585211678,-1.55966530941548,-0.867817393182928,-0.631194301858825,0.240977152220439,-0.846981235980871,-0.765533863534059,-1.83244903648547,0.497331257315274,0.475623113233765,1.1703958667922,0.210215386533222,-0.192453706358533,-0.0302938550585458,0.0732032465597668,-0.109610356672918,0.0328884865797834,0.0513328448132727,-0.0828391570668422,-0.149777363424687,-0.00145976826938942,0.108673727315853,0.0988928482196845,0.103311389126836,-0.11410001369618,-0.0105196946110335,0.00288293052524554,-0.0380244756475298,0.121538868806577,0.0628065518892099,-0.0290289149102007,-0.0362654473856672,-0.0714274385469181,-0.0720221423039821,0.224266208987965,0.056241421922288,-0.119865454527647,-0.116288402851909,-0.111685178116041,0.0147277503602822,0.0244781236992164,-0.0663473200788771,-0.178740304975594,0.0322874045238062
